Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Metropolitan_Area
2015-01-01,313.22,607.98,18.35,20.157999999999998,32.208333333333336,19.599999999999998,4.961666666666667,43.839999999999996,44.608000000000004,2.74,6.69,3.28,472.0,0.8333333333333334
2015-01-02,186.18,269.55,17.594,18.494,28.638333333333332,21.133333333333333,4.515,42.648,23.524,2.83,7.328,2.686666666666666,454.0,0.8333333333333334
2015-01-03,87.18,131.9,13.406,20.296,23.103333333333335,26.166666666666668,9.826666666666666,52.66600000000001,19.657999999999998,2.183333333333333,10.128,1.4133333333333333,143.0,0.8333333333333334
2015-01-04,151.84,241.84,8.283333333333333,20.474999999999998,20.89428571428571,45.48666666666667,4.491428571428571,38.306666666666665,23.536666666666665,1.9866666666666666,6.373333333333334,1.3625,319.0,0.8571428571428571
2015-01-05,146.6,219.13,10.12,19.461666666666666,21.915714285714284,53.25333333333333,6.8,39.77333333333333,22.745,2.1816666666666666,6.91,1.5725,325.0,0.8571428571428571
2015-01-06,149.58,252.1,17.723333333333333,28.34166666666667,30.080000000000002,55.593333333333334,10.114285714285714,43.923333333333325,24.97,5.107142857142857,5.338333333333334,1.4825,318.0,0.8571428571428571
2015-01-07,217.87,376.51,39.071666666666665,35.501666666666665,46.45857142857143,54.15,19.48428571428571,41.565,24.683333333333334,6.3757142857142854,6.373333333333334,1.8375,353.0,0.8571428571428571
2015-01-08,229.9,360.95,25.49166666666667,34.376666666666665,36.41142857142857,60.169999999999995,15.492857142857144,41.275,28.908333333333335,6.095714285714286,6.17,1.6025,383.0,0.8571428571428571
2015-01-09,201.66,397.43,17.898333333333333,32.42166666666667,27.127142857142854,56.629999999999995,8.06857142857143,48.18833333333333,26.46666666666667,6.021428571428571,7.355714285714286,1.6199999999999999,375.0,0.8571428571428571
2015-01-10,221.02,361.74,10.102,25.83666666666667,22.259999999999998,57.39666666666667,4.476666666666667,36.468333333333334,25.47666666666667,6.4314285714285715,6.9816666666666665,1.5074999999999998,376.0,0.8571428571428571
2015-01-11,205.41,393.2,39.51166666666666,38.92166666666667,27.47142857142857,54.87,23.217142857142854,41.99666666666667,26.42,7.819999999999999,8.906666666666668,1.6475,379.0,0.8571428571428571
2015-01-12,212.41,345.63,21.298333333333336,31.968333333333334,36.94,64.68666666666667,11.424285714285714,46.28333333333333,28.055000000000003,7.17,12.086666666666666,3.415,375.0,0.8571428571428571
2015-01-13,197.61,301.04,29.953333333333333,37.36666666666667,39.56714285714286,62.29333333333333,10.638571428571428,47.85666666666666,24.361666666666665,8.44,8.382857142857143,4.6375,366.0,0.8571428571428571
2015-01-14,164.39,227.38,18.973333333333333,28.578333333333333,29.228571428571428,71.77,6.612857142857143,21.863333333333333,24.011666666666667,5.774285714285715,8.415,2.7575000000000003,353.0,0.8571428571428571
2015-01-15,166.19,283.93,15.394999999999998,24.846666666666668,28.04714285714286,50.199999999999996,4.025714285714286,13.244,28.313333333333333,5.132857142857143,8.040000000000001,1.4825,340.0,0.8571428571428571
2015-01-16,174.98,309.99,13.416666666666666,22.653333333333336,27.11428571428571,50.23333333333334,6.1657142857142855,15.648000000000001,29.465000000000003,5.2371428571428575,10.911666666666667,1.7374999999999998,356.0,0.8571428571428571
2015-01-17,196.46,356.2,15.631666666666668,23.069999999999997,31.681428571428572,46.77,6.981428571428571,30.083333333333332,34.275,5.4799999999999995,9.813333333333334,2.1475,360.0,0.8571428571428571
2015-01-18,201.51,359.75,16.281666666666666,25.709999999999997,28.775714285714287,46.10333333333333,5.048571428571429,17.984,27.035,5.1414285714285715,9.941666666666666,2.165,370.0,0.8571428571428571
2015-01-19,183.35,305.13,16.006666666666668,25.819999999999997,25.244285714285716,55.26,5.1085714285714285,18.962,27.948333333333334,4.312857142857143,7.055,1.955,362.0,0.8571428571428571
2015-01-20,165.63,257.04,12.318333333333333,21.37833333333333,23.967142857142854,57.913333333333334,5.22,33.358,42.913333333333334,6.101428571428571,4.661666666666666,2.09,340.0,0.8571428571428571
2015-01-21,159.54,235.27,17.03333333333333,26.43166666666667,22.747142857142858,24.049999999999997,7.501428571428572,41.608,23.36,2.8716666666666666,3.3280000000000003,2.3275,338.0,0.8571428571428571
2015-01-22,143.68,183.89,19.043333333333333,22.625,22.472857142857144,15.966666666666667,4.7299999999999995,40.379999999999995,25.71166666666667,6.22,9.635,2.1,332.0,0.8571428571428571
2015-01-23,128.73,136.07,15.64,22.060000000000002,23.722857142857144,18.016666666666666,6.967142857142858,17.445999999999998,27.173333333333332,5.224285714285714,5.623333333333334,2.42,254.0,0.8571428571428571
2015-01-24,164.98,200.02,6.618333333333333,15.924999999999999,18.228571428571428,19.33666666666667,3.1271428571428572,13.096,28.41333333333333,4.341666666666666,4.036666666666666,1.4,324.0,0.8571428571428571
2015-01-25,148.59,203.81,9.82,16.345,17.87142857142857,21.673333333333332,4.3028571428571425,15.512,30.19666666666667,4.298333333333334,3.926666666666667,1.2149999999999999,333.0,0.8571428571428571
2015-01-26,129.34,137.86,9.568333333333333,16.378333333333334,17.445714285714285,27.040000000000003,4.215714285714285,12.706,28.418333333333333,4.0233333333333325,3.5316666666666667,1.1575,292.0,0.8571428571428571
2015-01-27,154.2,217.2,7.94,20.015,20.142857142857142,21.27,3.6699999999999995,12.554,30.013333333333335,4.005,3.188333333333334,1.3599999999999999,318.0,0.8571428571428571
2015-01-28,103.91999999999999,156.9,8.168333333333333,21.583333333333332,20.231428571428573,23.183333333333334,4.535714285714286,11.806000000000001,35.69166666666667,4.713333333333334,4.922857142857143,1.225,295.0,0.8571428571428571
2015-01-29,128.13,277.0,28.06833333333334,26.918333333333333,28.474285714285713,27.459999999999997,5.0042857142857144,13.946000000000002,35.015,4.176666666666667,4.288571428571428,1.9224999999999999,268.0,0.8571428571428571
2015-01-30,128.94,272.61,21.328333333333333,24.09,31.521428571428572,29.546666666666667,6.111428571428571,18.406,39.443333333333335,3.685,3.9416666666666664,2.375,336.5,0.8571428571428571
2015-01-31,126.555,207.06,24.85666666666667,29.775000000000002,31.608571428571427,26.599999999999998,6.642857142857143,23.006,44.32833333333334,4.228333333333333,4.335714285714286,2.9625,424.0,0.8571428571428571
2015-02-01,173.79000000000002,371.05,23.89,33.54666666666667,39.70428571428572,36.123333333333335,10.255714285714285,29.238333333333333,41.0,3.74,5.7299999999999995,7.7125,570.0,0.8571428571428571
2015-02-02,170.985,219.84,15.548333333333334,24.960000000000004,29.228571428571428,33.15,11.858571428571429,16.022,45.13833333333333,3.3733333333333335,4.497142857142857,9.76,631.5,0.8571428571428571
2015-02-03,148.70499999999998,194.09,10.756666666666666,21.063333333333333,25.314285714285713,27.76,8.06,10.986,37.593333333333334,3.5416666666666665,2.5816666666666666,3.4724999999999997,497.0,0.8571428571428571
2015-02-04,108.955,147.08,13.528333333333336,24.666666666666668,30.64428571428571,30.92,3.987142857142857,8.956,29.221666666666664,3.6666666666666665,5.33,1.385,303.5,0.8571428571428571
2015-02-05,95.06,127.42,14.538333333333332,26.646666666666665,30.44142857142857,46.446666666666665,3.564285714285714,11.644,29.55333333333333,2.5100000000000002,6.715,1.5425,205.5,0.8571428571428571
2015-02-06,115.445,330.99,14.323333333333332,32.07,33.25142857142857,52.31333333333333,2.8285714285714283,18.354,35.92333333333334,5.478333333333333,7.5183333333333335,2.9475,246.5,0.8571428571428571
2015-02-07,124.725,210.52,13.491666666666665,29.87,29.50857142857143,32.29333333333333,4.892857142857143,20.580000000000002,34.55166666666667,4.473333333333333,3.9642857142857144,2.005,288.0,0.8571428571428571
2015-02-08,109.81,215.69,11.145000000000001,27.625,25.914285714285715,40.736666666666665,4.41,15.99,34.51,4.035,4.0,0.4375,351.0,0.8571428571428571
2015-02-09,124.3,109.86,7.758333333333333,24.891666666666666,22.512857142857143,41.77333333333333,4.094285714285715,14.347999999999999,33.24333333333333,1.075,3.6916666666666664,1.3975,303.5,0.8571428571428571
2015-02-10,129.23,218.23,7.835,20.595000000000002,20.84,50.42333333333334,3.684285714285714,30.901666666666667,39.071666666666665,1.686,2.56,2.9775,287.5,0.8571428571428571
2015-02-11,91.715,316.14,13.735999999999999,29.476,27.043333333333333,52.68333333333333,6.183333333333334,52.362,39.136,3.776,4.296,9.07,361.0,0.8571428571428571
2015-02-12,121.50999999999999,394.97,13.089999999999998,28.03833333333333,28.881428571428568,47.876666666666665,6.491428571428571,33.35666666666666,31.77333333333333,2.465,5.511666666666667,3.37,315.0,0.8571428571428571
2015-02-13,135.185,328.43,18.448333333333334,24.903333333333336,32.261428571428574,53.21,5.7299999999999995,47.69,30.263333333333332,2.9433333333333334,6.3933333333333335,3.7325,425.5,0.8571428571428571
2015-02-14,185.645,412.46,29.27,35.222,42.45666666666667,70.15666666666668,11.528333333333334,30.525,32.652,5.837999999999999,15.573999999999998,7.05,569.0,0.8571428571428571
2015-02-15,148.655,497.37,14.808333333333332,29.563333333333333,32.044285714285714,47.156666666666666,6.605714285714286,42.83166666666667,40.45666666666667,3.206666666666667,8.895000000000001,4.335,433.0,0.8571428571428571
2015-02-16,126.16,310.74,18.30666666666667,30.25,35.49285714285714,55.96333333333333,7.358571428571429,34.69833333333333,35.949999999999996,3.4859999999999998,14.375,2.5375,447.0,0.8571428571428571
2015-02-17,120.94,195.78,19.330000000000002,27.255,34.62714285714286,65.63666666666667,6.475714285714285,18.596,35.15833333333333,10.43,14.225,2.2225,403.0,0.8571428571428571
2015-02-18,144.495,253.53,21.87833333333333,29.726666666666663,35.034285714285716,66.48666666666666,8.365714285714285,23.981666666666666,34.45333333333333,10.355,17.278333333333332,2.515,478.5,0.8571428571428571
2015-02-19,133.98,193.78,12.54,26.736666666666665,25.43142857142857,62.28666666666667,7.654285714285714,38.586666666666666,29.778333333333336,14.168333333333335,12.316666666666668,1.9125,389.5,0.8571428571428571
2015-02-20,142.20499999999998,162.2,13.810000000000002,23.956666666666667,27.689999999999998,70.10000000000001,8.907142857142857,27.122000000000003,30.804999999999996,15.788333333333334,12.608571428571427,3.12,452.5,0.8571428571428571
2015-02-21,197.67000000000002,191.03,20.226666666666667,28.751666666666665,35.934285714285714,61.70666666666667,14.065714285714288,24.654000000000003,31.413333333333338,6.026000000000001,13.318571428571428,6.475,730.5,0.8571428571428571
2015-02-22,133.53,107.61,19.078333333333337,29.136666666666667,36.699999999999996,64.64666666666666,10.685714285714285,19.412,34.975,2.444,8.898571428571428,3.0500000000000003,474.0,0.8571428571428571
2015-02-23,189.89999999999998,157.01,24.623333333333335,33.153333333333336,42.53142857142857,52.5,16.99142857142857,24.612,34.998333333333335,11.372,30.442857142857143,10.5125,764.0,0.8571428571428571
2015-02-24,144.44,238.33,14.863333333333335,30.338333333333335,29.851428571428574,55.43666666666667,6.482857142857143,17.830000000000002,34.11333333333334,4.930000000000001,14.418333333333335,6.29,382.5,0.8571428571428571
2015-02-25,100.59,169.57,8.82,20.68166666666667,21.002857142857142,39.69,4.728571428571429,11.58,41.050000000000004,1.816,4.765,0.915,316.0,0.8571428571428571
2015-02-26,140.78,171.64,7.697999999999999,19.747999999999998,20.958333333333332,20.22,4.128333333333333,6.0075,35.525999999999996,1.0575,3.6016666666666666,1.6500000000000001,323.0,0.8571428571428571
2015-02-27,130.42,163.67,8.742,18.71,20.151666666666667,33.5,5.478333333333333,7.154999999999999,38.89,1.23,4.178333333333334,1.8233333333333333,315.0,0.8571428571428571
2015-02-28,105.86,169.28,6.5040000000000004,15.813999999999998,16.005,21.263333333333332,4.31,6.6850000000000005,34.64,1.175,3.4259999999999997,0.7333333333333334,310.0,0.8571428571428571
2015-03-01,66.475,98.89,5.753333333333333,14.625,15.325714285714286,14.030000000000001,3.9185714285714286,30.228333333333335,33.199999999999996,1.44,3.0885714285714285,1.2825000000000002,324.0,0.8571428571428571
2015-03-02,57.245000000000005,60.15,12.075000000000001,17.585,22.009999999999998,22.389999999999997,6.6085714285714285,9.584,38.89,3.8716666666666666,2.7399999999999998,0.615,207.5,0.8571428571428571
2015-03-03,87.66,112.1,10.616666666666667,20.716666666666665,22.564285714285713,36.693333333333335,7.8100000000000005,12.924000000000001,30.498333333333335,2.361666666666667,5.351428571428571,1.525,337.0,0.8571428571428571
2015-03-04,92.475,139.15,9.59,18.701666666666668,21.664285714285715,29.483333333333334,6.552857142857143,17.613999999999997,41.78666666666667,2.8699999999999997,4.401428571428572,2.2824999999999998,291.5,0.8571428571428571
2015-03-05,139.79,196.19,18.765,24.686666666666667,31.852857142857143,25.436666666666667,15.594285714285714,21.222,44.038333333333334,3.6683333333333334,10.325714285714286,3.9475,527.5,0.8571428571428571
2015-03-06,101.75,163.14,12.126000000000001,18.438,19.738333333333333,37.446666666666665,9.496666666666668,8.865,43.482,57.576,12.112,2.5666666666666664,322.0,0.8571428571428571
2015-03-07,91.50999999999999,90.54,9.53,18.33,18.75714285714286,11.363333333333335,8.532857142857143,11.73,43.56666666666667,46.692857142857136,12.953333333333333,0.625,216.0,0.8571428571428571
2015-03-08,67.4,80.2,8.479999999999999,17.285,17.547142857142855,12.946666666666667,7.151428571428572,36.98,38.515,45.311428571428564,7.511666666666667,0.7849999999999999,149.0,0.8571428571428571
2015-03-09,98.21000000000001,117.38,9.028333333333334,21.599999999999998,24.99142857142857,16.516666666666666,9.088571428571429,15.803999999999998,40.785000000000004,46.78142857142858,9.45857142857143,1.105,215.0,0.8571428571428571
2015-03-10,96.705,150.92,8.671666666666667,23.691666666666666,40.31285714285714,17.279999999999998,4.195714285714286,12.761666666666665,36.178333333333335,3.026666666666667,6.752857142857143,2.0425,267.5,0.8571428571428571
2015-03-11,111.39,176.2,9.63,27.444999999999997,45.00142857142857,23.776666666666667,4.048571428571429,14.106666666666667,36.678333333333335,2.6950000000000003,8.244285714285715,1.63,302.0,0.8571428571428571
2015-03-12,110.97,203.75,9.391666666666667,25.215,39.98571428571428,21.709999999999997,3.947142857142857,16.753333333333334,39.22,3.0919999999999996,6.713333333333334,4.5600000000000005,283.5,0.8571428571428571
2015-03-13,103.0,173.89,9.531666666666666,23.296666666666667,38.95428571428572,16.883333333333333,4.637142857142857,18.22,39.01166666666666,2.3600000000000003,9.075714285714286,3.365,275.5,0.8571428571428571
2015-03-14,75.93,105.29,9.746666666666668,22.263333333333335,31.67142857142857,13.74,5.33,20.391666666666666,36.809999999999995,2.698,9.586666666666668,1.15,221.0,0.8571428571428571
2015-03-15,44.2,46.68,10.75,18.771666666666665,22.208571428571428,15.176666666666668,6.395714285714286,14.496666666666668,33.31666666666667,27.295,9.358571428571429,0.8049999999999999,192.0,0.8571428571428571
2015-03-16,38.075,74.14,10.443333333333333,19.385,25.054285714285715,16.376666666666665,5.621428571428572,16.896666666666665,38.02166666666667,1.492,8.514285714285714,0.5775,153.0,0.8571428571428571
2015-03-17,52.92,104.33,14.546666666666667,29.724999999999998,40.494285714285716,23.996666666666666,5.321428571428571,17.826666666666664,41.64,1.9380000000000002,9.52,1.6175000000000002,224.0,0.8571428571428571
2015-03-18,54.14,95.56,21.608333333333334,29.308333333333334,43.76857142857143,23.313333333333333,6.171428571428572,15.288333333333332,42.72833333333333,28.363333333333333,13.43857142857143,2.2775,238.5,0.8571428571428571
2015-03-19,87.285,136.67,17.475,26.55666666666667,54.38857142857143,25.290000000000003,10.537142857142857,22.31833333333333,47.98166666666666,24.43166666666667,19.115714285714287,5.2749999999999995,561.5,0.8571428571428571
2015-03-20,241.01,168.0,12.243333333333332,27.91333333333333,54.297142857142866,24.103333333333335,5.714285714285714,16.26,43.375,10.365,37.11285714285714,7.7575,474.5,0.8571428571428571
2015-03-21,193.715,172.91,15.74,31.603333333333335,47.05142857142857,23.929999999999996,5.4799999999999995,17.901666666666667,47.15,8.408333333333333,48.89000000000001,6.972499999999999,379.0,0.8571428571428571
2015-03-22,225.64999999999998,122.12,11.598333333333334,25.450000000000003,40.45428571428572,21.75666666666667,7.155714285714285,18.346666666666668,43.85666666666666,6.09,33.94833333333333,3.6,405.0,0.8571428571428571
2015-03-23,98.02,131.42,21.39833333333333,31.668333333333333,42.49857142857143,23.883333333333336,9.815714285714284,17.838333333333335,38.18,7.248333333333334,34.051428571428566,6.617500000000001,485.5,0.8571428571428571
2015-03-24,101.598,179.36,23.36,45.326666666666675,49.64714285714285,25.52333333333333,6.177142857142857,17.61,39.99666666666667,6.418333333333333,26.131428571428568,7.140000000000001,317.4,0.8571428571428571
2015-03-25,118.228,201.08,19.676666666666666,43.73833333333334,45.84285714285714,22.786666666666665,7.114285714285714,18.991666666666664,44.75666666666667,7.086666666666667,20.274285714285718,5.1425,317.0,0.8571428571428571
